gd,bgd,acc,bac,nt,bnt
0.21279338633411693,0.21279338633411693,0.21279338633411693,0.21279338633411693,0.21279338633411693,0.21279338633411693
0.15789575476855944,0.1232413518889624,0.15789575476855944,0.056604156776787234,0.026105664340627943,0.04635298927503917
0.12226056715373422,0.05604173076437066,0.11454840088707602,0.06376736800197816,0.02297823465495835,0.02778056720192676
0.09909574072356692,0.052679442609970595,0.08497590394974464,0.06597976317353246,0.022955961921816148,0.023030127327287764
0.08400458271321126,0.0513223839079012,0.06764354897752162,0.06285988437758638,0.02295575673230532,0.02297005533833263
0.07414099117289707,0.05011801126618909,0.059110997291431044,0.058817421308328344,0.02295575541124295,0.02295591990055587
0.06766259725358625,0.04900211364895421,0.055720461694345136,0.055773381899057006,0.022955755408603284,0.022955782949533043
0.0633767717761336,0.047964760183023314,0.05463657582393974,0.05397589075515383,0.022955755408602563,0.022955756439810793
0.06051147723282346,0.046998514904077,0.05417171151564326,0.052997201395020094,0.022955755408602674,0.022955755655636206
0.058566935073692206,0.04609679173256656,0.053608830671933755,0.05234491859878082,0.022955755408602674,0.022955755447926413
0.05721960656282493,0.04525371562865649,0.052818548135920906,0.05171141050658201,0.022955755408602646,0.022955755409083095
0.0562600373971229,0.04446403931683979,0.05190364144233828,0.05099006485407653,0.022955755408602507,0.02295575540867148
0.0555526231080023,0.04372307107009887,0.05098085676569988,0.0501936809605516,0.022955755408602646,0.02295575540860295
0.05500956428404136,0.0430266110964414,0.05010234792338328,0.04936931024227517,0.02295575540860259,0.02295575540860262
0.05457400718725297,0.04237089546035744,0.0492636267078837,0.04855031801862145,0.02295575540860273,0.02295575540860262
0.05420913028347987,0.04175254663327255,0.04843945947241515,0.0477460413123767,0.022955755408602646,0.02295575540860259
0.05389107969823556,0.04116852987745989,0.04761126430670892,0.04695151027304789,0.02295575540860262,0.022955755408602563
0.05360439616957455,0.040616114763959765,0.04677557394900633,0.04615998914008962,0.02295575540860262,0.022955755408602452
