gd,bgd,acc,bac,nt,bnt
0.4177079743833074,0.4177079743833074,0.4177079743833074,0.4177079743833074,0.4177079743833074,0.4177079743833074
0.38594068632000633,2.7087420575641743,0.38594068632000633,0.10750324467851446,0.043701664498311366,0.043701664498311366
0.35714534278926835,22.22035976061819,0.6862860383641227,0.12192740104286465,0.043701664498311144,0.043701664498311144
0.33101055331467766,187.76826312077702,1.6028503458081491,0.1303934774888975,0.043701664498311144,0.043701664498311144
0.30726301481301693,1591.9093319615365,4.618685183072813,0.1867609598196115,0.043701664498311144,0.043701664498311144
0.2856619977907784,13501.170727214952,15.05694936084874,0.38862681491849693,0.043701664498311144,0.043701664498311144
0.2659947472141081,114509.62112313345,53.1434833039931,1.1474103832498244,0.043701664498310866,0.043701664498310866
0.24807263286368442,971212.9900511089,198.189753498199,4.051180830686235,0.04370166449831109,0.04370166449831098
0.23172791517749153,8237344.09727506,770.386233598304,15.524405125207515,0.043701664498311255,0.04370166449831098
0.21681101776013867,69865047.51055445,3094.2503399087695,62.133705195857836,0.04370166449831109,0.043701664498310866
0.2031882180686966,592560519.2797896,12764.349766995727,256.09878852638025,0.04370166449831109,0.043701664498310644
0.19073968421436782,5025803055.819176,53839.77152350159,1080.0094870484838,0.04370166449831103,0.04370166449831053
0.17935779910480765,42626357201.05708,231413.3328479955,4641.876243362759,0.0437016644983112,0.0437016644983092
0.16894572390361562,361535521402.1656,1010862.3370225177,20276.495011479416,0.04370166449831098,0.04370166449831053
0.15941616149233595,3066364142241.184,4477999.108032956,89822.24771446415,0.04370166449831109,0.04370166449831053
0.1506902876813837,26007372709484.023,20082047.65887771,402816.91594485054,0.0437016644983112,0.04370166449830981
0.14269682364772113,220581576053671.4,91041739.18646856,1826165.8068595615,0.043701664498311144,0.043701664498311144
0.13537122773499344,1870863014032110.2,416736607.1612425,8359134.305772765,0.0437016644983112,0.043701664498310644
0.12865498854244906,1.5867727848774044e+16,1924123877.851766,38595145.13922223,0.04370166449831103,0.04370166449831103
0.12249500431850902,1.3458216084998616e+17,8953273068.670671,179589722.45933974,0.04370166449831131,0.04370166449831092
0.1168430361972157,1.1414588271030195e+18,41955434505.9156,841565400.6245314,0.043701664498311144,0.04370166449831092
0.1116552248789342,9.681284991580185e+18,197868101324.3258,3968948240.3213773,0.043701664498311255,0.04370166449831092
0.10689166204766082,8.211183519082517e+19,938650657315.4683,18827976059.094307,0.0437016644983112,0.043701664498310866
0.10251600920632331,6.964316704103905e+20,4476743669642.791,89797010184.41714,0.043701664498311255,0.0437016644983107
0.09849515775526485,5.906786402026499e+21,21456805418356.57,430392516717.4374,0.0437016644983112,0.0437016644983107
0.09479892508342935,5.009841895703168e+22,103311425311425.11,2072277931336.6956,0.043701664498311144,0.043701664498310144
0.0913997822236568,4.249098259475222e+23,499535225771936.3,10019954919526.021,0.043701664498310866,0.04370166449830959
0.08827260927284042,3.603873414480527e+24,2424867167252756.5,48639332019408.32,0.04370166449831142,0.043701664498308035
0.08539447531873579,3.0566258519998495e+25,1.1813997750721978e+16,236971726465713.12,0.043701664498311255,0.043701664498305925
0.08274444006755455,2.59247773841705e+26,5.7754733923793656e+16,1158476520672512.0,0.043701664498311144,0.04370166449830537
0.0803033747460381,2.1988104366096005e+27,2.832467216906453e+17,5681520013044155.0,0.043701664498311255,0.04370166449830326
0.07805380017139818,1.8649214473468838e+28,1.3932931849939528e+18,2.7947448314077404e+16,0.0437016644983112,0.043701664498299264
0.07597974015283537,1.5817334440785652e+29,6.872930916693737e+18,1.3786106444018573e+17,0.04370166449831109,0.04370166449829127
0.07406658861785265,1.3415474907406535e+30,3.399317386294515e+19,6.818539556484156e+17,0.0437016644983112,0.043701664498287884
0.07230098905221743,1.137833733395568e+31,1.6854903163997703e+20,3.380850061479702e+18,0.043701664498311144,0.043701664498277726
0.0706707250099039,9.65053875310911e+31,8.376943579546638e+20,1.68029385516831e+19,0.043701664498311366,0.04370166449825841
0.06916462059330769,8.185106091672104e+32,4.1726746573594176e+21,8.369782510528754e+19,0.04370166449831103,0.04370166449819768
0.06777244992827847,6.942199129591982e+33,2.0828702953544203e+22,4.1779368873176125e+20,0.0437016644983112,0.04370166449818841
0.06648485476621557,5.888027377426734e+34,1.0417937727962032e+23,2.0896877938347155e+21,0.043701664498311255,0.04370166449817248
0.06529326943918184,4.9939314257850095e+35,5.220711387739519e+23,1.047199277531805e+22,0.043701664498311255,0.04370166449794166
0.06418985247584963,4.2356037916967774e+36,2.620992306265438e+24,5.257331895387529e+22,0.04370166449831092,0.04370166449749868
0.06316742425787819,3.5924280793295073e+37,1.318112693706643e+25,2.6439436276762968e+23,0.04370166449831103,0.04370166449743629
0.062219410159477684,3.046918489036755e+38,6.639804265031393e+25,1.33184880620342e+24,0.04370166449831103,0.04370166449684676
0.06133978866869144,2.5842444368619738e+39,3.3499746276961314e+26,6.719565111589542e+24,0.04370166449831109,0.043701664496240245
0.06052304403832598,2.1918273604894903e+40,1.6927038733517128e+27,3.395319414538079e+25,0.043701664498311144,0.043701664495616965
0.059764123058352936,1.858998750142968e+41,8.565355235325204e+27,1.7180865112176842e+26,0.04370166449831109,0.04370166449399987
0.05905839558070847,1.5767101074335223e+42,4.340184434696722e+28,8.705782922693072e+26,0.04370166449831109,0.04370166449364277
0.05840161846235148,1.3372869469072212e+43,2.20213809551269e+29,4.4171708630778157e+27,0.043701664498311255,0.04370166448926294
0.05778990262371375,1.1342201524155808e+44,1.1187450742174613e+30,2.244040986854962e+28,0.043701664498311144,0.04370166448893276
0.057219682947748984,9.61989015985569e+44,5.690442010347311e+30,1.1414204539378886e+29,0.04370166449831109,0.04370166448559054
0.05668769077001601,8.15911148206972e+45,2.897800564321758e+31,5.812569268846189e+29,0.0437016644983112,0.043701664484842695
0.05619092873297321,6.920151797018086e+46,1.4773355272251081e+32,2.963321627806084e+30,0.043701664498310866,0.043701664473738244
0.05572664779816339,5.869327928538703e+47,7.539795767804591e+32,1.5123740989254396e+31,0.04370166449831109,0.04370166446811852
0.05529232622851182,4.978071485016935e+48,3.852054858796837e+33,7.72666551653898e+31,0.0437016644983112,0.04370166444709539
0.0548856503697252,4.2221521802256034e+49,1.969978015941061e+34,3.951491285060764e+32,0.04370166449831098,0.04370166440542661
0.054504497074972624,3.5810190927628226e+50,1.0084417124070722e+35,2.0227883792727163e+33,0.0437016644983112,0.04370166436432377
0.05414691763081225,3.0372419551316735e+51,5.167089852815956e+35,1.0364435723296432e+34,0.04370166449831098,0.0437016641396194
0.05381112305483138,2.576037282977716e+52,2.6499218252564348e+36,5.315360330856806e+34,0.0437016644983112,0.04370166406857212
0.05349547064683191,2.184866461520852e+53,1.3601872476505964e+37,2.7283391041166452e+35,0.043701664498311255,0.04370166365765177
0.053198451685732506,1.85309486249386e+54,6.98763702312335e+37,1.4016190321215215e+36,0.0437016644983112,0.04370166360380029
0.0529186801737479,1.5717027241156008e+55,3.592659085041999e+38,7.206355070899722e+36,0.043701664498311255,0.04370166329190395
0.052654882537984615,1.3330399338909106e+56,1.8486058363366516e+39,3.7080362281643313e+37,0.043701664498311255,0.0437016638475603
0.052405888207365914,1.1306180476004466e+57,9.519287034367274e+39,1.9094314480623943e+38,0.043701664498311144,0.04370166369080353
0.05217062098993119,9.589338901714069e+57,4.905530411182017e+40,9.839785272490188e+38,0.043701664498311255,0.043701663685736414
0.05194809118201027,8.13319942725903e+58,2.52975873165861e+41,5.074330525805445e+39,0.04370166449831109,0.04370166333858605
0.05173738834669889,6.8981744833048555e+59,1.3054925463138948e+42,2.618629435317251e+40,0.04370166449831109,0.04370166254898061
0.05153767470444737,5.850687866159307e+60,6.741598013312555e+42,1.3522671614313347e+41,0.043701664498311144,0.0437016608780228
0.05134817908349271,4.9622619129262996e+61,3.483660869667294e+43,6.987720398504869e+41,0.043701664498311144,0.04370165994330427
0.051168191382365,4.208743288956803e+62,1.8012965599348464e+44,3.6131406547662845e+42,0.0437016644983112,0.043701659637121915
0.05099705750079159,3.5696463393430734e+63,9.319723408856647e+44,1.8694018680041751e+43,0.043701664498311255,0.04370165509764534
0.050834174699073864,3.0275961523763517e+64,4.8248269016929535e+45,9.677905692190635e+43,0.04370166449831103,0.04370164879050481
0.050678987349437155,2.5678561937233753e+65,2.499275480229579e+46,5.013185527542811e+44,0.0437016644983112,0.043701643656128886
0.05053098304596748,2.1779276692725285e+66,1.2953682948669221e+47,2.5983216496278926e+45,0.04370166449831103,0.04370161817701479
0.05038968904262536,1.847209724663364e+67,6.717574424993988e+47,1.3474483766982794e+46,0.04370166449831109,0.043701663946261016
0.050254668991419504,1.566711243459539e+68,3.4855025958770374e+48,6.99141463519603e+46,0.04370166449831148,0.04370166379807511
0.050125519955218356,1.3288064087199738e+69,1.8094471275844337e+49,3.6294895159084016e+47,0.04370166449831131,0.04370166371446793
0.050001869671857824,1.1270273825036695e+70,9.39827284719394e+49,1.885157750482284e+48,0.0437016644983112,0.043701663293628956
0.049883374048196705,9.558884669563229e+70,4.883893596787941e+50,9.79638494882016e+48,0.043701664498311144,0.04370166293364908
0.049769714864589754,8.107369665058995e+71,2.539188098194127e+51,5.093244472756741e+49,0.0437016644983112,0.043701660661970176
0.049660597671921436,6.876266966083412e+72,1.320774990846784e+52,2.6492838111008748e+50,0.04370166449831109,0.04370165978633189
0.04955574986486294,5.832107001686339e+73,6.873263983237855e+52,1.3786774527385883e+51,0.043701664498311255,0.04370165595624964
0.049454918916408075,4.946502549550112e+74,3.5784302965921907e+53,7.177814176990542e+51,0.0437016644983112,0.04370165180596958
0.04935787076001946,4.195376982217737e+75,1.8638577003235593e+54,3.7386292637908744e+52,0.0437016644983112,0.04370164131620585
0.04926438830687824,3.5583097039994933e+76,9.712232360711067e+54,1.9481334929264055e+53,0.04370166449831103,0.04370164083321404
0.0491742700867992,3.0179809831735024e+77,5.062990666547621e+55,1.0155627795495895e+54,0.04370166449831092,0.04370163886847217
0.04908732900234636,2.5597010863217974e+78,2.6404182227334233e+56,5.296297477239922e+54,0.043701664498311144,0.04370162990897325
0.04900339118657393,2.1710109135370626e+79,1.3775639666588293e+57,2.7631942919250105e+55,0.04370166449831103,0.043701628218501765
0.048922294955630774,1.8413432771050105e+80,7.189858620742102e+57,1.4421817629832582e+56,0.04370166449831098,0.043701619421150195
0.04884388984821919,1.5617356149609868e+81,3.7540032805592254e+58,7.529988216712713e+56,0.04370166449831109,0.04370160985877386
0.048768035744571114,1.324586328559135e+82,1.9607895776155107e+59,3.933060605290261e+57,0.043701664498311255,0.04370158601018859
0.04869460205823356,1.1234481207945035e+83,1.024532693444884e+60,2.0550645624709398e+58,0.0437016644983112,0.043701578609200875
0.04862346699452691,9.528527155263889e+83,5.355200107550839e+60,1.0741757716841799e+59,0.04370166449831103,0.04370152899645019
0.0485545168700543,8.081621934121231e+84,2.800124282539076e+61,5.616644759487106e+59,0.04370166449831092,0.043701441442101696
0.04848764548812906,6.854429023691075e+85,1.4646282652887805e+62,2.9378326962585897e+60,0.043701664498311144,0.04370140159958619
0.04842275356540848,5.813585147116558e+86,7.6634246740171885e+62,1.5371722713683573e+61,0.043701664498311144,0.043701368745790226
0.04835974820543676,4.930793235433393e+87,4.011074510531998e+63,8.045635963366379e+61,0.04370166449831098,0.043701287691132296
